Target,Type,OptLevel
QtNotepad,_REAL,2
axel,_REAL,2
ffmpeg,_REAL,3
libQt5Core,_REAL,2
libSwell,_REAL,2
lrzip,_REAL,2
pbz2,_REAL,3
pigz,_REAL,3
plzip,_REAL,0
rar,_REAL,N/A
reaper,_REAL,N/A
sqlite3,_REAL,2
unrar,_REAL,2
x265,_REAL,3
xz,_REAL,2
505.mcf_r,SPEC,3
523.cpuxalan_r,SPEC,3
525.x264_r,SPEC,3
531.deepsjeng_r,SPEC,3
541.leela_r,SPEC,3
548.exchange2_r,SPEC,3
557.xz_r,SPEC,3
blackscholes,PARSEC,3
bodytrack,PARSEC,3
canneal,PARSEC,3
dedup,PARSEC,3
facesim,PARSEC,3
ferret,PARSEC,3
fluidanimate,PARSEC,3
freqmine,PARSEC,3
raytrace,PARSEC,3
streamcluster,PARSEC,3
swaptions,PARSEC,3
vips,PARSEC,3
x264,PARSEC,3
