,,,,,,,,,,,,
,Targets,Benchmark,Instructions,InstrumentationTime,Zeit/OldInstructions in ms,Total Added Instr,Ins Time /Added Instr ITPAI,Analyzed Functions:,Added I MemAccess:,Added I Funct Entry/Exit:,instr/Func,
,505.mcf_r ,SPEC,4578,3.23,0.71,14452,0.22,44,13400,1052,104.05,0.93
,531.deepsjeng_r ,SPEC,18065,16.41,0.91,62826,0.26,112,60033,2793,161.29,0.96
,541.leela_r ,SPEC,45566,23.37,0.51,123530,0.19,416,111398,9251,109.53,0.90
,548.exchange2_r ,SPEC,31148,24.60,0.79,168930,0.15,15,168732,198,"2,076.53",1.00
,557.xz_r,SPEC,33721,14.22,0.42,96298,0.15,385,88087,8211,87.59,0.91
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,blackscholes,PARSEC,1214,2.00,1.65,2626,0.76,5,2549,77,242.80,0.97
,bodytrack ,PARSEC,107833,66.07,0.61,355464,0.19,1330,324852,30612,81.08,0.91
,canneal,PARSEC,6501,4.01,0.62,18718,0.21,39,17872,846,166.69,0.95
,dedup,PARSEC,26073,14.02,0.54,97917,0.14,129,94719,3198,202.12,0.97
,facesim ,PARSEC,604662,401.92,0.66,2992150,0.13,3547,2910028,71596,170.47,0.97
,ferret,PARSEC,127357,54.06,0.42,434880,0.12,784,420430,14450,162.45,0.97
,fluidanimate,PARSEC,5752,4.01,0.70,16590,0.24,34,15854,736,169.18,0.96
,freqmine,PARSEC,16370,10.01,0.61,80827,0.12,77,79125,1702,212.60,0.98
,raytrace ,PARSEC,990246,748.78,0.76,4146685,0.18,5217,4075797,70888,189.81,0.98
,streamcluster,PARSEC,8195,4.51,0.55,20991,0.21,36,20223,768,227.64,0.96
,swaptions,PARSEC,13969,7.01,0.50,66752,0.10,46,65986,766,303.67,0.99
,vips,PARSEC,1156099,859.91,0.74,4696656,0.18,6022,4580538,116118,191.98,0.98
,x264 ,PARSEC,464677,77.08,0.17,1357532,0.06,1553,1324247,33285,299.21,0.98
