,,,,,,,,,
,Targets,Benchmark,BaseRuntime,RuntimeTSAN,RuntimeBinTSAN,RuntimeHelgrind,OverheadTSAN,OverheadBinTSAN,OverheadHelgrind
,505.mcf_r ,SPEC,384.10,"3,690.80","4,193.48","17,804.83",9.61,10.92,46.35
,523.xalancbmk_r,SPEC,283.74,"3,266.44","6,697.57","10,451.23",11.51,23.60,36.83
,525.x264_r,SPEC,348.44,"20,067.40","24,681.65","8,123.80",57.59,70.83,23.31
,531.deepsjeng_r ,SPEC,317.21,"3,809.91","5,610.82","8,852.18",12.01,17.69,27.91
,541.leela_r ,SPEC,466.51,"6,523.78","6,769.62","8,533.12",13.98,14.51,18.29
,548.exchange2_r ,SPEC,339.10,337.93,"5,840.42","9,461.08",1.00,17.22,27.90
,557.xz_r,SPEC,440.49,"5,839.99","6,510.56","7,546.61",13.26,14.78,17.13
,blackscholes,PARSEC,0.02,0.04,0.13,1.18,2.30,8.01,70.04
,bodytrack ,PARSEC,0.06,1.84,1.65,6.59,33.31,29.85,119.44
,dedup,PARSEC,0.10,2.00,1.94,10.93,20.44,19.81,111.49
,ferret,PARSEC,0.08,1.12,1.23,6.97,14.35,15.80,89.39
,fluidanimate,PARSEC,0.11,2.19,2.16,55.60,19.32,19.12,491.12
,raytrace ,PARSEC,2.03,22.16,18.64,67.02,10.94,9.20,33.08
,streamcluster,PARSEC,0.08,2.94,1.63,#,38.27,21.28,#Note: Time out after 1000x of default execution time
,swaptions,PARSEC,0.05,0.34,0.43,5.61,7.26,9.18,120.36
,vips,PARSEC,0.09,2.04,2.60,29.04,23.42,29.85,333.81
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,MIN,,0.02,0.04,0.13,1.18,1.00,8.01,17.13
,MAX,,466.51,"20,067.40","24,681.65","17,804.83",57.59,70.83,491.12
,AVERAGE,,161.39,"2,723.18","3,770.91","4,730.39",18.04,20.73,104.43
