,,,,,,,,,
,Targets,Benchmark,BaseRuntime,RuntimeBinTSAN,RunTimeNoDRA,RuntimeStarDRA,SpeedUpStarDRA,SpeedUpCustomDRA,NoDRA
,505.mcf_r ,SPEC,384.10,"4,193.48","7,977.24","5,331.20",13.88,10.92,20.77
,523.xalancbmk_r,SPEC,256.60,"6,697.57","7,128.11","6,938.43",27.04,26.10,27.78
,525.x264_r,SPEC,359.90,"24,681.65","25,199.07","25,135.24",69.84,68.58,70.02
,531.deepsjeng_r ,SPEC,317.21,"5,610.82","8,496.11","7,251.26",22.86,17.69,26.78
,541.leela_r ,SPEC,466.51,"6,769.62","10,125.57","7,686.63",16.48,14.51,21.70
,548.exchange2_r ,SPEC,339.10,"5,840.42","16,277.60","10,074.06",29.71,17.22,48.00
,557.xz_r,SPEC,440.49,"6,510.56","9,440.13","8,596.51",19.52,14.78,21.43
,blackscholes,PARSEC,0.02,0.13,0.15,0.15,8.63,8.01,8.87
,bodytrack ,PARSEC,0.06,1.65,2.03,1.73,31.30,29.85,36.72
,dedup,PARSEC,0.10,1.94,2.54,2.02,20.66,19.81,25.88
,ferret,PARSEC,0.08,1.23,1.77,1.71,21.91,15.80,22.73
,fluidanimate,PARSEC,0.11,2.16,2.63,2.44,21.54,19.12,23.24
,raytrace ,PARSEC,2.03,18.64,26.45,19.13,9.44,9.20,13.06
,streamcluster,PARSEC,0.08,1.63,1.74,1.63,21.25,21.28,22.61
,swaptions,PARSEC,0.05,0.43,0.79,0.44,9.50,9.18,17.03
,vips,PARSEC,0.09,2.60,2.89,2.38,27.30,29.85,33.26
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,MIN,,,,,,8.63,8.01,8.87
,MAX,,,,,,69.84,68.58,70.02
,AVERAGE,,,,,,23.18,20.75,27.49
